FECHA,COVID_LLAMADOS,CASOS_SOSPECHOSOS,CASOS_DESCARTADOS_COVID,CASOS_TRASLADADOS,CASOS_DERIVADOS
17JUN2021:00:00:00,445,12,433,0,4
18JUN2021:00:00:00,391,21,370,0,5
19JUN2021:00:00:00,394,28,366,0,1
20JUN2021:00:00:00,334,30,304,0,5
21JUN2021:00:00:00,343,45,298,0,5
22JUN2021:00:00:00,416,24,392,0,7
23JUN2021:00:00:00,356,27,329,0,5
24JUN2021:00:00:00,390,17,373,0,4
25JUN2021:00:00:00,349,19,330,0,3
26JUN2021:00:00:00,253,27,226,0,9
27JUN2021:00:00:00,217,8,209,0,3
28JUN2021:00:00:00,54,5,49,0,1
29JUN2021:00:00:00,54,5,49,0,1
30JUN2021:00:00:00,54,5,49,0,1
01JUL2021:00:00:00,54,5,49,0,1
02JUL2021:00:00:00,341,27,314,0,5
03JUL2021:00:00:00,317,21,296,0,3
04JUL2021:00:00:00,308,29,279,0,2
05JUL2021:00:00:00,349,23,326,0,4
06JUL2021:00:00:00,318,10,308,0,4
07JUL2021:00:00:00,319,13,306,0,2
08JUL2021:00:00:00,418,12,406,0,1
09JUL2021:00:00:00,225,15,210,0,1
10JUL2021:00:00:00,191,13,178,0,0
11JUL2021:00:00:00,168,10,158,0,3
12JUL2021:00:00:00,341,10,331,0,4
13JUL2021:00:00:00,311,15,296,0,4
14JUL2021:00:00:00,394,15,379,0,2
15JUL2021:00:00:00,335,12,323,0,3
16JUL2021:00:00:00,354,14,340,0,4
17JUL2021:00:00:00,111,5,106,0,3
18JUL2021:00:00:00,187,7,180,0,0
19JUL2021:00:00:00,283,18,265,0,5
20JUL2021:00:00:00,260,11,249,0,2
21JUL2021:00:00:00,261,10,251,0,2
22JUL2021:00:00:00,323,17,306,0,5
23JUL2021:00:00:00,284,13,271,0,0
24JUL2021:00:00:00,171,10,161,0,2
25JUL2021:00:00:00,137,16,121,0,0
26JUL2021:00:00:00,235,11,224,0,4
27JUL2021:00:00:00,218,17,201,0,3
28JUL2021:00:00:00,235,9,226,0,2
29JUL2021:00:00:00,193,11,182,0,5
30JUL2021:00:00:00,291,10,281,0,3
31JUL2021:00:00:00,201,17,184,0,5
01AUG2021:00:00:00,228,20,208,0,1
02AUG2021:00:00:00,229,8,221,0,0
03AUG2021:00:00:00,204,13,191,0,2
04AUG2021:00:00:00,242,14,228,0,3
05AUG2021:00:00:00,269,5,264,0,1
06AUG2021:00:00:00,286,7,279,0,0
07AUG2021:00:00:00,167,4,163,0,0
08AUG2021:00:00:00,131,8,123,0,0
09AUG2021:00:00:00,304,18,286,0,7
10AUG2021:00:00:00,269,12,257,0,1
11AUG2021:00:00:00,279,11,268,0,2
12AUG2021:00:00:00,245,9,236,0,2
13AUG2021:00:00:00,273,5,268,0,1
14AUG2021:00:00:00,193,12,181,0,2
15AUG2021:00:00:00,157,10,147,0,2
16AUG2021:00:00:00,319,18,301,0,2
17AUG2021:00:00:00,272,8,264,0,2
18AUG2021:00:00:00,291,8,283,0,1
19AUG2021:00:00:00,280,15,265,0,2
20AUG2021:00:00:00,239,5,234,0,1
21AUG2021:00:00:00,108,17,91,0,2
22AUG2021:00:00:00,68,11,57,0,1
23AUG2021:00:00:00,259,12,247,0,4
24AUG2021:00:00:00,200,11,189,0,4
25AUG2021:00:00:00,184,13,171,0,5
26AUG2021:00:00:00,177,9,168,0,3
27AUG2021:00:00:00,180,12,168,0,0
28AUG2021:00:00:00,224,7,217,0,0
29AUG2021:00:00:00,220,6,214,0,2
30AUG2021:00:00:00,255,16,239,0,5
31AUG2021:00:00:00,157,14,143,0,5
01SEP2021:00:00:00,226,12,214,0,4
02SEP2021:00:00:00,262,14,248,0,5
03SEP2021:00:00:00,262,10,252,0,1
04SEP2021:00:00:00,110,5,105,0,1
05SEP2021:00:00:00,114,5,109,0,1
06SEP2021:00:00:00,275,14,261,0,3
07SEP2021:00:00:00,177,13,164,0,3
08SEP2021:00:00:00,199,14,185,0,5
09SEP2021:00:00:00,164,7,157,0,3
10SEP2021:00:00:00,122,3,119,0,4
11SEP2021:00:00:00,94,19,75,0,3
12SEP2021:00:00:00,76,16,60,0,2
13SEP2021:00:00:00,121,6,115,0,0
14SEP2021:00:00:00,123,10,113,0,2
15SEP2021:00:00:00,156,9,147,0,1
16SEP2021:00:00:00,151,13,138,0,4
17SEP2021:00:00:00,223,6,217,0,1
18SEP2021:00:00:00,115,8,107,0,0
19SEP2021:00:00:00,60,6,54,0,2
20SEP2021:00:00:00,123,7,116,0,0
21SEP2021:00:00:00,112,3,109,0,0
22SEP2021:00:00:00,81,3,78,0,0
23SEP2021:00:00:00,79,8,71,0,3
24SEP2021:00:00:00,72,6,66,0,1
25SEP2021:00:00:00,94,13,81,0,1
26SEP2021:00:00:00,84,6,78,0,0
27SEP2021:00:00:00,112,2,110,0,0
28SEP2021:00:00:00,100,10,90,0,2
29SEP2021:00:00:00,106,5,101,0,0
30SEP2021:00:00:00,80,7,73,0,3
01OCT2021:00:00:00,136,8,128,0,1
02OCT2021:00:00:00,40,2,38,0,0
03OCT2021:00:00:00,52,1,51,0,0
04OCT2021:00:00:00,197,5,192,0,1
05OCT2021:00:00:00,110,6,104,0,1
06OCT2021:00:00:00,132,5,127,0,1
07OCT2021:00:00:00,151,8,143,0,0
08OCT2021:00:00:00,79,11,68,0,1
09OCT2021:00:00:00,92,3,89,0,1
10OCT2021:00:00:00,64,11,53,0,0
11OCT2021:00:00:00,110,9,101,0,1
12OCT2021:00:00:00,148,7,141,0,0
13OCT2021:00:00:00,118,3,115,0,0
14OCT2021:00:00:00,154,3,151,0,0
15OCT2021:00:00:00,147,2,145,0,1
16OCT2021:00:00:00,69,7,62,0,0
17OCT2021:00:00:00,52,3,49,0,1
18OCT2021:00:00:00,110,3,107,0,1
19OCT2021:00:00:00,113,4,109,0,2
20OCT2021:00:00:00,83,3,80,0,1
21OCT2021:00:00:00,148,4,144,0,1
22OCT2021:00:00:00,84,4,80,0,0
23OCT2021:00:00:00,56,13,43,0,1
24OCT2021:00:00:00,77,8,69,0,3
25OCT2021:00:00:00,103,1,102,0,1
26OCT2021:00:00:00,87,9,78,0,2
27OCT2021:00:00:00,78,3,75,0,0
28OCT2021:00:00:00,70,4,66,0,0
29OCT2021:00:00:00,87,9,78,0,0
30OCT2021:00:00:00,48,2,46,0,0
31OCT2021:00:00:00,52,3,49,0,1
01NOV2021:00:00:00,134,6,128,0,1
02NOV2021:00:00:00,110,5,105,0,1
03NOV2021:00:00:00,167,8,159,0,2
04NOV2021:00:00:00,107,2,105,0,1
